extroversion,critical,dependable,anxious,open,reserved,sympathetic,disorganized,calm,conventional,control,gender,age,stress,employment,exercise,household_size,friend_smokers,age_first
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree moderately,No,Male,21,Occasionally,Unemployed,Often or at least 3 days every week,5,2,19
Agree moderately,Agree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,No,Male,20,Rarely,Unemployed,Often or at least 3 days every week,4,2,15
Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Agree a little,Disagree moderately,Disagree strongly,Yes,Male,20,Frequently,Unemployed,Never,4,5,17
Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree moderately,Disagree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Yes,Male,20,Rarely,Unemployed,Often or at least 3 days every week,6,3,19
Disagree a little,Agree moderately,Disagree a little,Agree moderately,Agree a little,Agree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree moderately,Yes,Female,20,Occasionally,Unemployed,Never,5,5,16
Agree a little,Agree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Neither agree nor disagree,Agree a little,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Often or at least 3 days every week,5,3,18
Agree a little,Disagree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,No,Male,22,Occasionally,Employed,Often or at least 3 days every week,6,1,20
Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Yes,Male,21,Frequently,Unemployed,Never,6,4,18
Disagree a little,Agree a little,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Disagree a little,Disagree strongly,No,Male,21,Frequently,Unemployed,Sometimes or a few days every month,7,2,18
Disagree a little,Agree a little,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree a little,Disagree a little,Disagree strongly,Yes,Female,21,Constantly,Unemployed,Never,5,5,20
Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No,Female,21,Occasionally,Unemployed,Often or at least 3 days every week,5,4,19
Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Yes,Female,21,Occasionally,Unemployed,Sometimes or a few days every month,5,3,19
Disagree a little,Neither agree nor disagree,Disagree moderately,Agree a little,Agree moderately,Disagree a little,Disagree a little,Agree a little,Disagree moderately,Disagree moderately,Yes,Female,21,Occasionally,Unemployed,Sometimes or a few days every month,6,3,19
Agree a little,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes,Female,21,Frequently,Unemployed,Never,4,5,18
Agree moderately,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree a little,Agree a little,Disagree moderately,Yes,Female,21,Constantly,Employed,Never,3,5,19
Agree strongly,Disagree moderately,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,No,Male,21,Rarely,Employed,Often or at least 3 days every week,4,1,20
Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No,Male,23,Rarely,Employed,Often or at least 3 days every week,1,1,20
Agree a little,Neither agree nor disagree,Agree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,No,Female,23,Frequently,Employed,Never,4,2,20
Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,Yes,Male,24,Frequently,Employed,Never,1,5,19
Agree a little,Agree a little,Agree moderately,Agree strongly,Agree strongly,Neither agree nor disagree,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,No,Male,21,Frequently,Unemployed,Never,5,5,20
Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,No,Male,22,Occasionally,Employed,Often or at least 3 days every week,5,1,20
Disagree moderately,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree a little,Yes,Male,22,Occasionally,Unemployed,Never,5,3,19
Disagree moderately,Disagree a little,Agree moderately,Agree a little,Disagree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree a little,Agree a little,Yes,Female,23,Frequently,Employed,Never,3,4,20
Agree strongly,Agree a little,Agree strongly,Agree a little,Disagree a little,Disagree moderately,Agree a little,Disagree a little,Agree a little,Disagree moderately,No,Male,24,Occasionally,Employed,Sometimes or a few days every month,3,2,21
Agree moderately,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,Male,25,Occasionally,Employed,Often or at least 3 days every week,2,2,21
Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No,Male,24,Rarely,Employed,Sometimes or a few days every month,4,2,20
Agree a little,Disagree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Agree strongly,Agree moderately,No,Male,23,Occasionally,Employed,Often or at least 3 days every week,3,2,19
Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes,Female,21,Frequently,Unemployed,Never,4,4,18
Agree a little,Disagree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,No,Female,21,Occasionally,Unemployed,Sometimes or a few days every month,6,2,19
Agree moderately,Disagree a little,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Disagree moderately,Disagree moderately,Yes,Female,22,Frequently,Employed,Never,4,5,17
Disagree a little,Disagree moderately,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree a little,Disagree moderately,Yes,Female,22,Constantly,Employed,Never,5,4,19
Disagree a little,Disagree moderately,Agree a little,Agree moderately,Agree strongly,Agree a little,Disagree moderately,Agree a little,Disagree a little,Disagree a little,No,Male,22,Occasionally,Unemployed,Sometimes or a few days every month,5,1,19
Agree a little,Agree a little,Disagree moderately,Agree moderately,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Disagree a little,Disagree moderately,Yes,Male,21,Frequently,Unemployed,Never,6,4,19
Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Agree a little,Disagree a little,Disagree a little,Disagree moderately,Yes,Female,20,Frequently,Unemployed,Never,4,5,16
Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,Male,23,Rarely,Employed,Often or at least 3 days every week,4,1,20
Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,Male,22,Occasionally,Unemployed,Sometimes or a few days every month,5,2,19
Agree a little,Disagree a little,Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,No,Male,21,Rarely,Unemployed,Sometimes or a few days every month,5,2,19
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Disagree a little,Agree a little,Disagree a little,Neither agree nor disagree,Neither agree nor disagree,Yes,Female,23,Occasionally,Employed,Often or at least 3 days every week,2,3,19
Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree strongly,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree moderately,Yes,Male,21,Occasionally,Employed,Sometimes or a few days every month,5,3,18
Disagree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Agree a little,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,No,Female,21,Rarely,Unemployed,Often or at least 3 days every week,3,2,19
Agree a little,Disagree a little,Agree moderately,Disagree strongly,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree moderately,No,Male,24,Occasionally,Employed,Often or at least 3 days every week,4,2,20
Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree a little,Disagree moderately,Neither agree nor disagree,Yes,Male,24,Constantly,Employed,Never,3,5,18
Disagree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree moderately,Disagree a little,No,Male,30,Frequently,Employed,Sometimes or a few days every month,1,1,21
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,No,Male,30,Frequently,Unemployed,Never,4,2,9
Agree a little,Disagree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree a little,No,Female,21,Occasionally,Unemployed,Sometimes or a few days every month,4,1,20
Neither agree nor disagree,Agree a little,Agree strongly,Agree a little,Agree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree a little,No,Male,22,Occasionally,Employed,Often or at least 3 days every week,6,2,16
Disagree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Agree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,No,Female,27,Frequently,Employed,Sometimes or a few days every month,6,3,21
Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Neither agree nor disagree,Agree a little,Agree a little,Agree a little,Agree a little,Yes,Female,23,Frequently,Unemployed,Sometimes or a few days every month,3,3,21
Agree moderately,Agree a little,Agree strongly,Agree strongly,Agree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Disagree a little,Disagree strongly,Yes,Male,23,Frequently,Employed,Often or at least 3 days every week,7,3,17
Agree moderately,Neither agree nor disagree,Agree moderately,Disagree a little,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,No,Male,29,Occasionally,Employed,Sometimes or a few days every month,2,3,16
Agree moderately,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Agree moderately,Neither agree nor disagree,Yes,Male,25,Rarely,Unemployed,Often or at least 3 days every week,6,3,19
Agree moderately,Agree strongly,Agree strongly,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Yes,Male,28,Occasionally,Employed,Every day or at least 5 times every week,5,4,20
Agree moderately,Disagree moderately,Agree strongly,Agree strongly,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree strongly,Yes,Male,21,Occasionally,Employed,Sometimes or a few days every month,6,5,21
Agree a little,Agree a little,Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree a little,Agree a little,Agree a little,Disagree a little,Yes,Female,28,Frequently,Employed,Never,5,3,17
Neither agree nor disagree,Disagree a little,Neither agree nor disagree,Agree strongly,Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree moderately,Neither agree nor disagree,No,Male,23,Occasionally,Unemployed,Never,7,0,20
Agree a little,Neither agree nor disagree,Disagree moderately,Disagree strongly,Disagree a little,Agree a little,Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Yes,Male,27,Constantly,Employed,Never,6,5,19
Agree moderately,Disagree a little,Agree strongly,Agree a little,Agree strongly,Agree a little,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree moderately,No,Male,19,Occasionally,Employed,Every day or at least 5 times every week,5,3,18
Disagree a little,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree a little,Agree strongly,Disagree a little,Disagree a little,Neither agree nor disagree,No,Female,18,Frequently,Unemployed,Sometimes or a few days every month,4,4,17
Agree strongly,Neither agree nor disagree,Agree moderately,Agree strongly,Agree strongly,Agree a little,Agree a little,Agree strongly,Disagree strongly,Agree strongly,Yes,Female,20,Constantly,Employed,Never,8,5,14
Neither agree nor disagree,Neither agree nor disagree,Agree strongly,Disagree a little,Agree moderately,Agree a little,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Yes,Female,19,Constantly,Unemployed,Every day or at least 5 times every week,4,5,13
Disagree moderately,,Agree strongly,Agree strongly,Agree moderately,Agree a little,Agree strongly,Agree a little,Neither agree nor disagree,Disagree strongly,Yes,Male,20,Constantly,Employed,Often or at least 3 days every week,7,5,17
Agree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Agree strongly,Agree moderately,Neither agree nor disagree,Agree a little,Disagree a little,Yes,Male,24,Frequently,Unemployed,Often or at least 3 days every week,4,2,20
Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Disagree moderately,Disagree strongly,Disagree a little,Disagree strongly,Disagree strongly,Yes,Male,25,Rarely,Unemployed,Every day or at least 5 times every week,8,3,19
Agree strongly,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree moderately,Agree a little,Agree a little,Agree a little,Agree moderately,Disagree strongly,No,Male,20,Rarely,Employed,Every day or at least 5 times every week,5,4,16
Agree moderately,,Agree moderately,Agree a little,Neither agree nor disagree,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree moderately,No,Male,24,Occasionally,Employed,Often or at least 3 days every week,5,4,17
Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree a little,Agree moderately,Neither agree nor disagree,Neither agree nor disagree,Disagree strongly,Yes,Male,21,Constantly,Employed,Sometimes or a few days every month,6,5,13
Agree moderately,Agree strongly,Agree moderately,Agree strongly,Agree a little,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree moderately,Neither agree nor disagree,Yes,Female,25,Constantly,Unemployed,Never,6,3,14
Agree moderately,Agree a little,Agree moderately,Agree strongly,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree strongly,Disagree moderately,Yes,Male,25,Constantly,Employed,Sometimes or a few days every month,4,0,16
Agree strongly,Neither agree nor disagree,Agree strongly,Neither agree nor disagree,Agree strongly,Agree a little,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree strongly,No,Male,28,Rarely,Employed,Often or at least 3 days every week,4,5,16
Agree moderately,Disagree moderately,Agree a little,Agree strongly,Agree moderately,Agree moderately,Neither agree nor disagree,Agree a little,Disagree moderately,Disagree strongly,No,Male,19,Frequently,Unemployed,Often or at least 3 days every week,5,1,16
Agree moderately,Neither agree nor disagree,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,No,Male,30,Rarely,Employed,Every day or at least 5 times every week,4,0,16
Agree a little,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree moderately,Neither agree nor disagree,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,No,Male,28,Rarely,Employed,Often or at least 3 days every week,0,4,18
Agree strongly,,Agree strongly,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,No,Female,27,Constantly,Unemployed,Sometimes or a few days every month,3,4,23
Agree strongly,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Disagree strongly,Agree moderately,Disagree strongly,Yes,Female,25,Frequently,Employed,Sometimes or a few days every month,5,5,13
Agree a little,Disagree moderately,Agree a little,Agree strongly,Agree strongly,Neither agree nor disagree,Agree strongly,Agree moderately,Disagree moderately,Disagree moderately,Yes,Male,25,Frequently,Employed,Often or at least 3 days every week,7,2,17
Disagree a little,,Agree strongly,Agree a little,Agree a little,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree moderately,No,Female,23,Rarely,Unemployed,Never,4,4,19
Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree a little,Disagree a little,Disagree strongly,Neither agree nor disagree,Yes,Female,20,Constantly,Unemployed,Sometimes or a few days every month,5,5,18
Neither agree nor disagree,,Agree a little,Agree strongly,Disagree strongly,Agree moderately,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,No,Male,25,Rarely,Unemployed,Never,6,3,17
Agree a little,Disagree moderately,Agree moderately,Agree strongly,Disagree a little,Agree strongly,Agree moderately,Neither agree nor disagree,Agree moderately,Disagree strongly,No,Female,22,Constantly,Unemployed,Never,1,1,22
Agree moderately,Disagree a little,Neither agree nor disagree,Disagree moderately,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Neither agree nor disagree,Disagree a little,Yes,Male,29,Occasionally,Employed,Never,2,5,16
Agree strongly,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree a little,Agree strongly,Disagree strongly,Agree a little,Disagree strongly,Yes,Female,30,Rarely,Unemployed,Often or at least 3 days every week,0,1,19
Agree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Disagree a little,Disagree moderately,Disagree moderately,Yes,Male,20,Frequently,Unemployed,Never,6,3,16
Neither agree nor disagree,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Never,3,4,17
Agree a little,Agree moderately,Agree a little,Agree moderately,Agree strongly,Disagree a little,Agree a little,Disagree moderately,Disagree a little,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Sometimes or a few days every month,3,4,18
Agree moderately,Disagree moderately,Agree strongly,Disagree a little,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree strongly,Agree moderately,No,Male,21,Rarely,Employed,Every day or at least 5 times every week,4,4,19
Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Disagree moderately,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No,Female,21,Occasionally,Employed,Never,5,1,19
Agree strongly,,Neither agree nor disagree,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree a little,Disagree strongly,Yes,Male,22,Frequently,Unemployed,Often or at least 3 days every week,6,5,18
Agree moderately,Agree moderately,Disagree moderately,Agree a little,Agree moderately,Disagree a little,Agree a little,Neither agree nor disagree,Disagree a little,Disagree a little,No,Male,21,Occasionally,Unemployed,Never,5,3,18
Agree strongly,Disagree a little,Neither agree nor disagree,Agree a little,Agree a little,Disagree strongly,Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Sometimes or a few days every month,4,4,19
Disagree a little,Agree a little,Agree a little,Agree moderately,Agree moderately,Disagree a little,Agree a little,Agree a little,Disagree a little,Disagree moderately,Yes,Female,20,Occasionally,Unemployed,Never,6,4,17
Disagree a little,Agree a little,Disagree a little,Agree moderately,Agree moderately,Disagree a little,Disagree a little,Disagree a little,Disagree a little,Disagree strongly,Yes,Male,22,Occasionally,Unemployed,Sometimes or a few days every month,5,4,17
Agree a little,Agree moderately,Agree moderately,Agree strongly,Agree strongly,Disagree a little,Agree a little,Agree a little,Agree a little,Disagree strongly,No,Male,21,Constantly,Unemployed,Sometimes or a few days every month,5,3,19
Agree strongly,Disagree moderately,Agree strongly,Agree moderately,Agree strongly,Agree moderately,Agree moderately,Disagree strongly,Neither agree nor disagree,Disagree strongly,Yes,Male,26,Occasionally,Unemployed,Every day or at least 5 times every week,6,5,17
Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree moderately,Disagree strongly,Agree moderately,Disagree a little,No,Male,21,Rarely,Unemployed,Often or at least 3 days every week,4,2,18
Agree moderately,Agree a little,Agree strongly,Disagree a little,Disagree a little,Disagree moderately,Agree moderately,Disagree moderately,Agree moderately,Agree moderately,No,Male,22,Rarely,Employed,Often or at least 3 days every week,3,1,20
Agree moderately,Disagree a little,Agree strongly,Disagree a little,Agree a little,Disagree strongly,Agree a little,Disagree moderately,Agree strongly,Agree a little,No,Male,21,Rarely,Unemployed,Often or at least 3 days every week,4,2,19
Agree moderately,Neither agree nor disagree,Agree strongly,Disagree moderately,Agree a little,Disagree strongly,Neither agree nor disagree,Disagree moderately,Agree moderately,Agree a little,No,Female,21,Occasionally,Employed,Sometimes or a few days every month,5,1,19
Agree strongly,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree a little,Agree moderately,Agree a little,Agree moderately,Agree a little,Yes,Male,27,Frequently,Unemployed,Sometimes or a few days every month,3,3,24
Agree moderately,Agree moderately,Agree moderately,Agree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree moderately,Yes,Male,21,Frequently,Unemployed,Sometimes or a few days every month,5,5,18
Agree strongly,Agree a little,Agree strongly,Neither agree nor disagree,Agree moderately,Disagree moderately,Agree a little,Agree a little,Agree moderately,Disagree moderately,Yes,Male,20,Occasionally,Employed,Sometimes or a few days every month,8,4,17
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Agree moderately,Disagree a little,Agree a little,Disagree moderately,Yes,Male,21,Occasionally,Unemployed,Sometimes or a few days every month,6,4,18
Agree moderately,Agree moderately,Agree a little,Agree moderately,Agree a little,Agree a little,Agree a little,Agree a little,Agree moderately,Agree a little,Yes,Female,28,Occasionally,Employed,Sometimes or a few days every month,4,3,23
Agree moderately,Agree a little,Disagree moderately,Agree a little,Agree a little,Disagree a little,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,No,Male,25,Frequently,Employed,Never,4,2,21
Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Disagree a little,Yes,Female,24,Frequently,Employed,Never,3,2,10
Agree moderately,Agree moderately,Agree moderately,Disagree moderately,Agree a little,Disagree moderately,Neither agree nor disagree,Disagree moderately,Agree moderately,Disagree moderately,Yes,Male,22,Occasionally,Employed,Never,5,4,19
Disagree a little,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Agree moderately,Agree moderately,Disagree moderately,Agree moderately,Disagree moderately,Yes,Male,22,Frequently,Employed,Often or at least 3 days every week,4,5,19
Agree moderately,Disagree moderately,Agree moderately,Disagree a little,Agree strongly,Disagree moderately,Agree a little,Disagree moderately,Agree strongly,Disagree strongly,Yes,Male,25,Frequently,Employed,Sometimes or a few days every month,4,5,20
Neither agree nor disagree,Neither agree nor disagree,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree a little,Disagree moderately,Disagree a little,Disagree moderately,No,Female,23,Frequently,Unemployed,Never,5,2,19
